,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Depth_lag_1,GR_lag_1,ILD_log10_lag_1,DeltaPHI_lag_1,PHIND_lag_1,PE_lag_1,NM_M_lag_1,RELPOS_lag_1,Depth_lead_1,GR_lead_1,ILD_log10_lead_1,DeltaPHI_lead_1,PHIND_lead_1,PE_lead_1,NM_M_lead_1,RELPOS_lead_1,a1,b1,b2,b3,b4,b5,lm,sh,Facies
0,2808.0,66.276,0.63,3.3,10.65,3.591,1,1.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.5,-10.976,0.045,-3.2,-1.3,0.25,0.0,0.022,1,0,0,0,0,0,0,1,3.0
1,2808.5,77.252,0.585,6.5,11.95,3.341,1,0.978,0.5,10.976,-0.045,3.2,1.3,-0.25,0.0,-0.022,-0.5,-5.647,0.019,-2.9,-1.65,0.277,0.0,0.022,1,0,0,0,0,0,0,1,3.0
2,2809.0,82.899,0.566,9.4,13.6,3.064,1,0.956,0.5,5.647,-0.019,2.9,1.65,-0.277,0.0,-0.022,-0.5,2.228,-0.027,-0.1,0.35,0.087,0.0,0.023,1,0,0,0,0,0,0,1,3.0
3,2809.5,80.671,0.593,9.5,13.25,2.977,1,0.933,0.5,-2.228,0.027,0.1,-0.35,-0.087,0.0,-0.023,-0.5,4.7,-0.045,0.8,0.9,-0.043,0.0,0.022,1,0,0,0,0,0,0,1,3.0
4,2810.0,75.971,0.638,8.7,12.35,3.02,1,0.911,0.5,-4.7,0.045,-0.8,-0.9,0.043,0.0,-0.022,-0.5,2.016,-0.029,1.8,0.1,-0.066,0.0,0.022,1,0,0,0,0,0,0,1,3.0
5,2810.5,73.955,0.667,6.9,12.25,3.086,1,0.889,0.5,-2.016,0.029,-1.8,-0.1,0.066,0.0,-0.022,-0.5,-4.007,-0.007,0.4,-0.2,-0.006,0.0,0.022,1,0,0,0,0,0,0,1,3.0
6,2811.0,77.962,0.674,6.5,12.45,3.092,1,0.867,0.5,4.007,0.007,-0.4,0.2,0.006,0.0,-0.022,-0.5,-5.932,0.007,0.2,-0.2,-0.031,0.0,0.023,1,0,0,0,0,0,0,1,3.0
7,2811.5,83.894,0.667,6.3,12.65,3.123,1,0.844,0.5,5.932,-0.007,-0.2,0.2,0.031,0.0,-0.023,-0.5,-0.53,0.014,-0.4,-0.4,0.002,0.0,0.022,1,0,0,0,0,0,0,1,3.0
8,2812.0,84.424,0.653,6.7,13.05,3.121,1,0.822,0.5,0.53,-0.014,0.4,0.4,-0.002,0.0,-0.022,-0.5,1.264,0.011,-0.6,0.1,-0.006,0.0,0.022,1,0,0,0,0,0,0,1,3.0
9,2812.5,83.16,0.642,7.3,12.95,3.127,1,0.8,0.5,-1.264,-0.011,0.6,-0.1,0.006,0.0,-0.022,-0.5,4.097,-0.009,0.0,0.9,-0.02,0.0,0.022,1,0,0,0,0,0,0,1,3.0
