,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies,GR025,GR2,PHIND025,PHIND2,DeltaPHIlog,DeltaPHI05,NM_M_GR,NM_M_PHIND,NM_M_DeltaPHI,GR_PHIND,NM_M_ILD_log10,NM_M_ILD_log10_GR,NM_M_ILD_log10_GR_PHIND,ILD_log10_GR_PHIND,ILD_log10_GR_PHIND_DeltaPHI
0,A1 SH,STUART,2808.0,66.27600000000001,0.63,3.3,10.65,3.591,1,1.0,1,2.8532450488314454,4392.508176000001,1.806497654140781,113.42250000000001,10.889999999999999,35.937,66.27600000000001,10.65,3.3,705.8394000000002,0.63,41.75388000000001,444.67882200000014,444.67882200000014,1467.4401126000005
1,A1 SH,STUART,2808.5,77.252,0.585,6.5,11.95,3.341,1,0.978,3,2.964677333355498,5967.871504,1.8592679213843069,142.80249999999998,42.25,274.625,77.252,11.95,6.5,923.1613999999998,0.585,45.19241999999999,540.0494189999998,540.0494189999998,3510.3212234999987
2,A1 SH,STUART,2809.0,82.899,0.5660000000000001,9.4,13.6,3.0639999999999996,1,0.956,3,3.017430827158263,6872.244201,1.9203691788083757,184.95999999999998,88.36000000000001,830.5840000000001,82.899,13.6,9.4,1127.4264,0.5660000000000001,46.920834000000006,638.1233424000001,638.1233424000001,5998.35941856
3,A1 SH,STUART,2809.5,80.671,0.593,9.5,13.25,2.977,1,0.9329999999999999,3,2.996949052718697,6507.810241000001,1.9078928021878638,175.5625,90.25,857.375,80.671,13.25,9.5,1068.89075,0.593,47.837903000000004,633.85221475,633.85221475,6021.596040125
4,A1 SH,STUART,2810.0,75.971,0.638,8.7,12.35,3.02,1,0.9109999999999999,3,2.952310021714161,5771.592841000001,1.8746350786649426,152.52249999999998,75.68999999999998,658.5029999999998,75.971,12.35,8.7,938.24185,0.638,48.469498,598.5983003,598.5983003,5207.805212609999
5,A1 SH,STUART,2810.5,73.955,0.667,6.9,12.25,3.0860000000000003,1,0.889,3,2.9325260949243614,5469.342025,1.8708286933869707,150.0625,47.61000000000001,328.50900000000007,73.955,12.25,6.9,905.94875,0.667,49.327985,604.26781625,604.26781625,4169.447932125
6,A1 SH,STUART,2811.0,77.962,0.674,6.5,12.45,3.092,1,0.867,3,2.9714658466619817,6078.073444000001,1.878418417945126,155.00249999999997,42.25,274.625,77.962,12.45,6.5,970.6269,0.674,52.54638800000001,654.2025306,654.2025306,4252.3164489
7,A1 SH,STUART,2811.5,83.89399999999999,0.667,6.3,12.65,3.123,1,0.8440000000000001,3,3.0264445790962227,7038.2032359999985,1.8859172433475833,160.0225,39.69,250.04699999999997,83.89399999999999,12.65,6.3,1061.2591,0.667,55.957297999999994,707.8598197,707.8598197,4459.51686411
8,A1 SH,STUART,2812.0,84.42399999999999,0.653,6.7,13.05,3.1210000000000004,1,0.8220000000000001,3,3.031213184596646,7127.411775999999,1.9006520916879261,170.3025,44.89,300.76300000000003,84.42399999999999,13.05,6.7,1101.7332,0.653,55.128871999999994,719.4317795999999,719.4317795999999,4820.19292332
9,A1 SH,STUART,2812.5,83.16,0.642,7.3,12.95,3.127,1,0.8,3,3.0198030551912485,6915.585599999999,1.8970004857904799,167.7025,53.29,389.017,83.16,12.95,7.3,1076.9219999999998,0.642,53.38872,691.383924,691.383924,5047.1026452
10,A1 SH,STUART,2813.0,79.063,0.6509999999999999,7.3,12.05,3.147,1,0.778,3,2.981901698232652,6250.957969,1.863145456356523,145.20250000000001,53.29,389.017,79.063,12.05,7.3,952.7091500000001,0.6509999999999999,51.470012999999994,620.21365665,620.21365665,4527.559693544999
11,A1 SH,STUART,2813.5,69.002,0.677,6.2,10.8,3.096,1,0.7559999999999999,2,2.8821423018128045,4761.276003999999,1.8128252384140608,116.64000000000001,38.440000000000005,238.32800000000003,69.002,10.8,6.2,745.2216,0.677,46.714354,504.51502320000003,504.51502320000003,3127.9931438400004
12,A1 SH,STUART,2814.0,63.983000000000004,0.69,4.4,9.7,3.103,1,0.733,2,2.8282392807953833,4093.8242890000006,1.7647895909936366,94.08999999999999,19.360000000000003,85.18400000000003,63.983000000000004,9.7,4.4,620.6351,0.69,44.14827,428.23821899999996,428.23821899999996,1884.2481636
13,A1 SH,STUART,2814.5,61.797,0.675,3.5,9.15,3.1010000000000004,1,0.711,2,2.8037665366972844,3818.8692089999995,1.739223014006782,83.72250000000001,12.25,42.875,61.797,9.15,3.5,565.44255,0.675,41.712975,381.67372125,381.67372125,1335.858024375
14,A1 SH,STUART,2815.0,61.372,0.6459999999999999,2.8,9.3,3.065,1,0.6890000000000001,2,2.7989334286407264,3766.522384,1.74630757210618,86.49000000000001,7.839999999999999,21.951999999999995,61.372,9.3,2.8,570.7596000000001,0.6459999999999999,39.646311999999995,368.7107016,368.7107016,1032.38996448
15,A1 SH,STUART,2815.5,63.535,0.621,2.8,9.8,2.9819999999999998,1,0.667,2,2.823275494535453,4036.6962249999997,1.7693205386531028,96.04000000000002,7.839999999999999,21.951999999999995,63.535,9.8,2.8,622.643,0.621,39.455234999999995,386.661303,386.661303,1082.6516483999999
16,A1 SH,STUART,2816.0,65.126,0.6,3.3,10.55,2.9139999999999997,1,0.644,2,2.8407865378038752,4241.3958760000005,1.802242035294467,111.30250000000001,10.889999999999999,35.937,65.126,10.55,3.3,687.0793000000001,0.6,39.0756,412.24758,412.24758,1360.417014
17,A1 SH,STUART,2816.5,75.93,0.5760000000000001,3.4,11.9,2.845,1,0.6,2,2.951911615692073,5765.364900000001,1.8573200214642784,141.61,11.559999999999999,39.303999999999995,75.93,11.9,3.4,903.5670000000001,0.5760000000000001,43.73568000000001,520.4545920000002,520.4545920000002,1769.5456128000005
18,A1 SH,STUART,2817.0,85.07700000000001,0.584,4.4,12.9,2.8539999999999996,1,0.578,2,3.03705769179858,7238.095929000002,1.8951667470736169,166.41,19.360000000000003,85.18400000000003,85.07700000000001,12.9,4.4,1097.4933,0.584,49.684968000000005,640.9360872000001,640.9360872000001,2820.1187836800004
19,A1 SH,STUART,2817.5,89.459,0.598,6.6,13.5,2.986,1,0.556,2,3.075431156546395,8002.912681000001,1.9168293127388174,182.25,43.559999999999995,287.496,89.459,13.5,6.6,1207.6965,0.598,53.496482,722.202507,722.202507,4766.5365462
20,A1 SH,STUART,2818.0,88.619,0.61,7.2,14.8,2.988,1,0.5329999999999999,2,3.068186193022932,7853.327161,1.9613966483947782,219.04000000000002,51.84,373.24800000000005,88.619,14.8,7.2,1311.5612,0.61,54.05759,800.052332,800.052332,5760.3767904
21,A1 SH,STUART,2818.5,81.593,0.636,6.4,13.9,2.998,1,0.511,2,3.005475730676721,6657.417649000001,1.93087295710035,193.21,40.96000000000001,262.14400000000006,81.593,13.9,6.4,1134.1427,0.636,51.893148000000004,721.3147572,721.3147572,4616.414446080001
22,A1 SH,STUART,2819.0,66.595,0.7020000000000001,2.8,11.4,2.988,1,0.489,2,2.8566721828143957,4434.894025,1.8374951981506853,129.96,7.839999999999999,21.951999999999995,66.595,11.4,2.8,759.183,0.7020000000000001,46.74969,532.946466,532.946466,1492.2501048
23,A1 SH,STUART,2819.5,55.081,0.789,2.7,8.15,3.028,1,0.467,1,2.7242719204978343,3033.9165610000005,1.689621402777569,66.4225,7.290000000000001,19.683000000000003,55.081,8.15,2.7,448.91015000000004,0.789,43.458909000000006,354.19010835000006,354.19010835000006,956.3132925450002
24,A1 SH,STUART,2820.0,48.111999999999995,0.84,1.0,7.5,3.073,1,0.444,1,2.633682103920255,2314.7645439999997,1.6548754598234365,56.25,1.0,1.0,48.111999999999995,7.5,1.0,360.84,0.84,40.41407999999999,303.1055999999999,303.1055999999999,303.1055999999999
25,A1 SH,STUART,2820.5,43.73,0.846,0.4,7.1,3.1460000000000004,1,0.42200000000000004,1,2.57154938644899,1912.3128999999997,1.632354899798094,50.41,0.16000000000000003,0.06400000000000002,43.73,7.1,0.4,310.48299999999995,0.846,36.99558,262.668618,262.668618,105.0674472
26,A1 SH,STUART,2821.0,44.097,0.84,0.7,6.65,3.205,1,0.4,1,2.576927861919362,1944.545409,1.6058516094725332,44.222500000000004,0.48999999999999994,0.3429999999999999,44.097,6.65,0.7,293.24505000000005,0.84,37.04148,246.32584200000002,246.32584200000002,172.4280894
27,A1 SH,STUART,2821.5,46.839,0.8420000000000001,0.8,6.6,3.2539999999999996,1,0.37799999999999995,1,2.61608531886166,2193.891921,1.602824543028034,43.559999999999995,0.6400000000000001,0.5120000000000001,46.839,6.6,0.8,309.13739999999996,0.8420000000000001,39.438438000000005,260.29369080000004,260.29369080000004,208.23495264000005
28,A1 SH,STUART,2822.0,50.348,0.843,1.1,6.75,3.23,1,0.35600000000000004,1,2.6637628384445478,2534.921104,1.6118548977353129,45.5625,1.2100000000000002,1.3310000000000004,50.348,6.75,1.1,339.849,0.843,42.443363999999995,286.492707,286.492707,315.14197770000004
29,A1 SH,STUART,2822.5,57.129,0.8220000000000001,2.2,7.3,3.237,1,0.33299999999999996,2,2.7492495050038794,3263.722641,1.6437308834542408,53.29,4.840000000000001,10.648000000000003,57.129,7.3,2.2,417.0417,0.8220000000000001,46.960038000000004,342.8082774,342.8082774,754.17821028
30,A1 SH,STUART,2823.0,64.465,0.777,4.4,8.4,3.259,1,0.311,2,2.8335507586066937,4155.736225000001,1.7024321863844938,70.56,19.360000000000003,85.18400000000003,64.465,8.4,4.4,541.5060000000001,0.777,50.089305,420.75016200000005,420.75016200000005,1851.3007128000004
31,A1 SH,STUART,2823.5,70.267,0.7290000000000001,7.1,9.85,3.2889999999999997,1,0.289,2,2.8952618846575566,4937.451289,1.7715730200291049,97.0225,50.41,357.91099999999994,70.267,9.85,7.1,692.1299499999999,0.7290000000000001,51.224643,504.56273354999996,504.56273354999996,3582.3954082049995
32,A1 SH,STUART,2824.0,76.566,0.664,10.7,11.55,3.3810000000000002,1,0.244,2,2.9580736971404784,5862.352356,1.8435099928108027,133.4025,114.48999999999998,1225.0429999999997,76.566,11.55,10.7,884.3373,0.664,50.83982400000001,587.1999672000002,587.1999672000002,6283.039649040002
