,Formation,FormationSH,FormationNum,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,rollavg_PE,grad_PE,rollavg_GR,grad_GR,rollavg_PHIND,grad_PHIND,rollavg_ILD_log10,grad_ILD_log10,rollavg_DeltaPHI,grad_DeltaPHI,Facies
0,A1 SH,1,0,STUART,2808.0,66.27600000000001,0.63,3.3,10.65,3.591,1,1.0,3.0927333333333333,-0.25,69.4317,10.975999999999985,10.831666666666669,1.299999999999999,0.6800999999999999,-0.04500000000000004,4.703333333333333,3.2,1
1,A1 SH,1,0,STUART,2808.5,77.252,0.585,6.5,11.95,3.341,1,0.978,3.0927333333333333,-0.25,69.4317,10.975999999999985,10.831666666666669,1.299999999999999,0.6800999999999999,-0.04500000000000004,4.703333333333333,3.2,2
2,A1 SH,1,0,STUART,2809.0,82.899,0.5660000000000001,9.4,13.6,3.0639999999999996,1,0.956,3.0927333333333333,-0.2770000000000006,69.4317,5.647000000000006,10.831666666666669,1.6500000000000004,0.6800999999999999,-0.018999999999999906,4.703333333333333,2.9000000000000004,2
3,A1 SH,1,0,STUART,2809.5,80.671,0.593,9.5,13.25,2.977,1,0.9329999999999999,3.0927333333333333,-0.08699999999999974,69.4317,-2.2279999999999944,10.831666666666669,-0.34999999999999964,0.6800999999999999,0.026999999999999913,4.703333333333333,0.09999999999999964,2
4,A1 SH,1,0,STUART,2810.0,75.971,0.638,8.7,12.35,3.02,1,0.9109999999999999,3.0927333333333333,0.04300000000000015,69.4317,-4.700000000000003,10.831666666666669,-0.9000000000000004,0.6800999999999999,0.04500000000000004,4.703333333333333,-0.8000000000000007,2
5,A1 SH,1,0,STUART,2810.5,73.955,0.667,6.9,12.25,3.0860000000000003,1,0.889,3.0927333333333333,0.06600000000000028,69.4317,-2.0160000000000053,10.831666666666669,-0.09999999999999964,0.6800999999999999,0.029000000000000026,4.703333333333333,-1.799999999999999,2
6,A1 SH,1,0,STUART,2811.0,77.962,0.674,6.5,12.45,3.092,1,0.867,3.0927333333333333,0.005999999999999783,69.4317,4.007000000000005,10.831666666666669,0.1999999999999993,0.6800999999999999,0.007000000000000006,4.703333333333333,-0.40000000000000036,2
7,A1 SH,1,0,STUART,2811.5,83.89399999999999,0.667,6.3,12.65,3.123,1,0.8440000000000001,3.0927333333333333,0.03100000000000014,69.4317,5.931999999999988,10.831666666666669,0.20000000000000107,0.6800999999999999,-0.007000000000000006,4.703333333333333,-0.20000000000000018,2
8,A1 SH,1,0,STUART,2812.0,84.42399999999999,0.653,6.7,13.05,3.1210000000000004,1,0.8220000000000001,3.0927333333333333,-0.0019999999999997797,69.4317,0.5300000000000011,10.831666666666669,0.40000000000000036,0.6800999999999999,-0.014000000000000012,4.703333333333333,0.40000000000000036,2
9,A1 SH,1,0,STUART,2812.5,83.16,0.642,7.3,12.95,3.127,1,0.8,3.0927333333333333,0.005999999999999339,69.4317,-1.2639999999999958,10.831666666666669,-0.10000000000000142,0.6800999999999999,-0.01100000000000001,4.703333333333333,0.5999999999999996,2
10,A1 SH,1,0,STUART,2813.0,79.063,0.6509999999999999,7.3,12.05,3.147,1,0.778,3.0927333333333333,0.020000000000000018,69.4317,-4.096999999999994,10.831666666666669,-0.8999999999999986,0.6800999999999999,0.008999999999999897,4.703333333333333,0.0,2
11,A1 SH,1,0,STUART,2813.5,69.002,0.677,6.2,10.8,3.096,1,0.7559999999999999,3.0927333333333333,-0.05099999999999971,69.4317,-10.061000000000007,10.831666666666669,-1.25,0.6800999999999999,0.026000000000000134,4.703333333333333,-1.0999999999999996,2
12,A1 SH,1,0,STUART,2814.0,63.983000000000004,0.69,4.4,9.7,3.103,1,0.733,3.0927333333333333,0.007000000000000117,69.4317,-5.018999999999991,10.831666666666669,-1.1000000000000014,0.6800999999999999,0.0129999999999999,4.703333333333333,-1.7999999999999998,2
13,A1 SH,1,0,STUART,2814.5,61.797,0.675,3.5,9.15,3.1010000000000004,1,0.711,3.0927333333333333,-0.0019999999999997797,69.4317,-2.186000000000007,10.831666666666669,-0.5499999999999989,0.6800999999999999,-0.014999999999999902,4.703333333333333,-0.9000000000000004,1
14,A1 SH,1,0,STUART,2815.0,61.372,0.6459999999999999,2.8,9.3,3.065,1,0.6890000000000001,3.0927333333333333,-0.036000000000000476,69.4317,-0.42499999999999716,10.831666666666669,0.15000000000000036,0.6800999999999999,-0.029000000000000137,4.703333333333333,-0.7000000000000002,1
15,A1 SH,1,0,STUART,2815.5,63.535,0.621,2.8,9.8,2.9819999999999998,1,0.667,3.0927333333333333,-0.08300000000000018,69.4317,2.1629999999999967,10.831666666666669,0.5,0.6800999999999999,-0.02499999999999991,4.703333333333333,0.0,1
16,A1 SH,1,0,STUART,2816.0,65.126,0.6,3.3,10.55,2.9139999999999997,1,0.644,3.0927333333333333,-0.06800000000000006,69.4317,1.5910000000000082,10.831666666666669,0.75,0.6800999999999999,-0.02100000000000002,4.703333333333333,0.5,1
17,A1 SH,1,0,STUART,2816.5,75.93,0.5760000000000001,3.4,11.9,2.845,1,0.6,3.0927333333333333,-0.0689999999999995,69.4317,10.804000000000002,10.831666666666669,1.3499999999999996,0.6800999999999999,-0.02399999999999991,4.703333333333333,0.10000000000000009,2
18,A1 SH,1,0,STUART,2817.0,85.07700000000001,0.584,4.4,12.9,2.8539999999999996,1,0.578,3.0927333333333333,0.008999999999999453,69.4317,9.147000000000006,10.831666666666669,1.0,0.6800999999999999,0.007999999999999896,4.703333333333333,1.0000000000000004,2
19,A1 SH,1,0,STUART,2817.5,89.459,0.598,6.6,13.5,2.986,1,0.556,3.0927333333333333,0.13200000000000056,69.4317,4.381999999999991,10.831666666666669,0.5999999999999996,0.6800999999999999,0.014000000000000012,4.703333333333333,2.1999999999999993,2
20,A1 SH,1,0,STUART,2818.0,88.619,0.61,7.2,14.8,2.988,1,0.5329999999999999,3.0927333333333333,0.0019999999999997797,69.4317,-0.8400000000000034,10.831666666666669,1.3000000000000007,0.6800999999999999,0.01200000000000001,4.703333333333333,0.6000000000000005,2
21,A1 SH,1,0,STUART,2818.5,81.593,0.636,6.4,13.9,2.998,1,0.511,3.0927333333333333,0.010000000000000231,69.4317,-7.025999999999996,10.831666666666669,-0.9000000000000004,0.6800999999999999,0.026000000000000023,4.703333333333333,-0.7999999999999998,2
22,A1 SH,1,0,STUART,2819.0,66.595,0.7020000000000001,2.8,11.4,2.988,1,0.489,3.0927333333333333,-0.010000000000000231,69.4317,-14.998000000000005,10.831666666666669,-2.5,0.6800999999999999,0.06600000000000006,4.703333333333333,-3.6000000000000005,2
23,A1 SH,1,0,STUART,2819.5,55.081,0.789,2.7,8.15,3.028,1,0.467,3.0927333333333333,0.040000000000000036,69.4317,-11.513999999999996,10.831666666666669,-3.25,0.6800999999999999,0.08699999999999997,4.703333333333333,-0.09999999999999964,2
