DeltaPHI,Depth,Facies,Formation,GR,ILD_log10,NM_M,PE,PHIND,RELPOS,Well Name,train,PE2,smooth_PE,smooth_GR,enc_formation,3prev_Depth,3prev_ILD_log10,3prev_DeltaPHI,3prev_PHIND,3prev_smooth_PE,3prev_smooth_GR,3prev_enc,2prev_enc
3.3,2808.0,2.0,A1 SH,66.27600000000001,0.63,1,3.591,10.65,1.0,STUART,0,,3.1542,78.6464,0,1.0007122507122508,1.0126984126984127,2.6363636363636362,1.1596244131455398,1.0,1.0,0.0,0.0
6.5,2808.5,3.0,A1 SH,77.252,0.585,1,3.341,11.95,0.978,STUART,0,,3.1542,78.6464,0,1.0007122507122508,1.0126984126984127,2.6363636363636362,1.1596244131455398,1.0,1.0,0.0,0.0
9.4,2809.0,2.0,A1 SH,82.899,0.5660000000000001,1,3.0639999999999996,13.6,0.956,STUART,0,,3.1542,78.6464,0,1.0007122507122508,1.0126984126984127,2.6363636363636362,1.1596244131455398,1.0,1.0,0.0,0.0
9.5,2809.5,3.0,A1 SH,80.671,0.593,1,2.977,13.25,0.9329999999999999,STUART,0,,3.1542,78.6464,0,1.0007122507122508,1.0126984126984127,2.6363636363636362,1.1596244131455398,1.0,1.0,0.0,0.0
8.7,2810.0,2.0,A1 SH,75.971,0.638,1,3.02,12.35,0.9109999999999999,STUART,0,,3.1542,78.6464,0,1.0007122507122508,1.0126984126984127,2.6363636363636362,1.1596244131455398,1.0,1.0,0.0,0.0
6.9,2810.5,2.0,A1 SH,73.955,0.667,1,3.0860000000000003,12.25,0.889,STUART,0,,3.1542,78.6464,0,1.0007121239095602,1.1401709401709403,1.0615384615384615,1.0251046025104602,1.0,1.0,0.0,0.0
6.5,2811.0,2.0,A1 SH,77.962,0.674,1,3.092,12.45,0.867,STUART,0,,3.1542,78.6464,0,1.0007119971520113,1.1908127208480566,0.6914893617021276,0.9154411764705882,1.0,1.0,0.0,0.0
6.3,2811.5,2.0,A1 SH,83.89399999999999,0.667,1,3.123,12.65,0.8440000000000001,STUART,0,,3.1542,78.6464,0,1.00071187043958,1.1247892074198989,0.6631578947368421,0.9547169811320755,1.0,1.0,0.0,0.0
6.7,2812.0,2.0,A1 SH,84.42399999999999,0.653,1,3.1210000000000004,13.05,0.8220000000000001,STUART,0,,3.1542,78.6464,0,1.000711743772242,1.0235109717868338,0.7701149425287357,1.05668016194332,1.0,1.0,0.0,0.0
7.3,2812.5,2.0,A1 SH,83.16,0.642,1,3.127,12.95,0.8,STUART,0,,3.1542,78.6464,0,1.0007116171499733,0.9625187406296851,1.0579710144927534,1.0571428571428572,1.0,1.0,0.0,0.0
7.3,2813.0,3.0,A1 SH,79.063,0.6509999999999999,1,3.147,12.05,0.778,STUART,0,,3.1098,79.9251,0,1.0007114905727499,0.9658753709198811,1.123076923076923,0.9678714859437753,0.9859235305307209,1.0162588497375595,0.0,0.0
6.2,2813.5,2.0,A1 SH,69.002,0.677,1,3.096,10.8,0.7559999999999999,STUART,0,,3.0853,79.1001,0,1.0007113640405478,1.014992503748126,0.9841269841269842,0.8537549407114625,0.9781561093145648,1.0057688590959026,0.0,0.0
4.4,2814.0,2.0,A1 SH,63.983000000000004,0.69,1,3.103,9.7,0.733,STUART,0,,3.0892000000000004,77.20849999999999,0,1.000711237553343,1.0566615620214395,0.6567164179104478,0.7432950191570881,0.9793925559571367,0.9817168999471049,0.0,0.0
3.5,2814.5,2.0,A1 SH,61.797,0.675,1,3.1010000000000004,9.15,0.711,STUART,0,,3.1016000000000004,75.32109999999999,0,1.000711111111111,1.0514018691588785,0.4794520547945206,0.7065637065637066,0.9833238222053137,0.9577183443870284,0.0,0.0
2.8,2815.0,2.0,A1 SH,61.372,0.6459999999999999,1,3.065,9.3,0.6890000000000001,STUART,0,,3.1061000000000005,73.86119999999998,0,1.0007109847138287,0.9923195084485407,0.3835616438356164,0.7717842323651453,0.9988102128754263,0.9241302169155869,0.0,0.0
2.8,2815.5,2.0,A1 SH,63.535,0.621,1,2.9819999999999998,9.8,0.667,STUART,0,,3.095700000000001,72.81919999999998,0,1.0007108583614714,0.9172821270310192,0.4516129032258064,0.9074074074074074,1.0033708229345608,0.920595549183882,0.0,0.0
3.3,2816.0,2.0,A1 SH,65.126,0.6,1,2.9139999999999997,10.55,0.644,STUART,0,,3.077900000000001,71.53559999999997,0,1.0007107320540156,0.8695652173913044,0.7499999999999999,1.0876288659793816,0.9963420950407874,0.9265249292500176,0.0,0.0
3.4,2816.5,2.0,A1 SH,75.93,0.5760000000000001,1,2.845,11.9,0.6,STUART,0,,3.050100000000001,70.73919999999998,0,1.0007106057914372,0.8533333333333334,0.9714285714285714,1.3005464480874316,0.983395666752644,0.9391684401847556,0.0,0.0
4.4,2817.0,2.0,A1 SH,85.07700000000001,0.584,1,2.8539999999999996,12.9,0.578,STUART,0,,3.023400000000001,70.80449999999999,0,1.0007104795737123,0.9040247678018577,1.5714285714285716,1.3870967741935483,0.9733749718296257,0.9586156195675132,0.0,0.0
6.6,2817.5,2.0,A1 SH,89.459,0.598,1,2.986,13.5,0.556,STUART,0,,3.0093000000000005,71.4344,0,1.0007103534008168,0.9629629629629629,2.357142857142857,1.3775510204081631,0.9720903188293438,0.9809830374406752,0.0,0.0
7.2,2818.0,2.0,A1 SH,88.619,0.61,1,2.988,14.8,0.5329999999999999,STUART,0,,2.993400000000001,72.39,0,1.0007102272727273,1.0166666666666666,2.181818181818182,1.4028436018957346,0.9725462165762371,1.0119437035545942,0.0,0.0
6.4,2818.5,2.0,A1 SH,81.593,0.636,1,2.998,13.9,0.511,STUART,0,,2.983600000000001,73.6491,0,1.0007101011894195,1.1041666666666665,1.8823529411764708,1.1680672268907564,0.9781974361496344,1.0411356079797343,0.0,0.0
