DeltaPHI,Depth,Facies,Formation,GR,ILD_log10,NM_M,PE,PHIND,RELPOS,Well Name,train,smooth_PE,enc_formation,3PE,3GR
3.3,2808.0,2.0,A1 SH,66.27600000000001,0.63,1,3.591,10.65,1.0,STUART,0,3.0683999999999996,0,0.0,0.0
6.5,2808.5,3.0,A1 SH,77.252,0.585,1,3.341,11.95,0.978,STUART,0,3.0683999999999996,0,0.9303815093288778,1.1656104773975493
9.4,2809.0,2.0,A1 SH,82.899,0.5660000000000001,1,3.0639999999999996,13.6,0.956,STUART,0,3.0683999999999996,0,0.9170906914097574,1.0730984311085798
9.5,2809.5,3.0,A1 SH,80.671,0.593,1,2.977,13.25,0.9329999999999999,STUART,0,3.0683999999999996,0,0.9716057441253264,0.9731239218808431
8.7,2810.0,2.0,A1 SH,75.971,0.638,1,3.02,12.35,0.9109999999999999,STUART,0,3.0683999999999996,0,1.0144440712126301,0.9417386669311152
6.9,2810.5,2.0,A1 SH,73.955,0.667,1,3.0860000000000003,12.25,0.889,STUART,0,3.0683999999999996,0,1.0218543046357618,0.9734635584630977
6.5,2811.0,2.0,A1 SH,77.962,0.674,1,3.092,12.45,0.867,STUART,0,3.0683999999999996,0,1.001944264419961,1.0541815969170443
6.3,2811.5,2.0,A1 SH,83.89399999999999,0.667,1,3.123,12.65,0.8440000000000001,STUART,0,3.0683999999999996,0,1.0100258732212162,1.0760883507349732
6.7,2812.0,2.0,A1 SH,84.42399999999999,0.653,1,3.1210000000000004,13.05,0.8220000000000001,STUART,0,3.0683999999999996,0,0.9993595901376882,1.0063174958876677
7.3,2812.5,2.0,A1 SH,83.16,0.642,1,3.127,12.95,0.8,STUART,0,3.0683999999999996,0,1.0019224607497594,0.9850279541362646
7.3,2813.0,2.0,A1 SH,79.063,0.6509999999999999,1,3.147,12.05,0.778,STUART,0,3.0683999999999996,0,1.0063959066197634,0.9507335257335258
6.2,2813.5,2.0,A1 SH,69.002,0.677,1,3.096,10.8,0.7559999999999999,STUART,0,3.0683999999999996,0,0.9837940896091517,0.8727470498210287
4.4,2814.0,2.0,A1 SH,63.983000000000004,0.69,1,3.103,9.7,0.733,STUART,0,3.0683999999999996,0,1.0022609819121446,0.9272629778846991
3.5,2814.5,1.0,A1 SH,61.797,0.675,1,3.1010000000000004,9.15,0.711,STUART,0,3.0683999999999996,0,0.9993554624556881,0.9658346748355031
2.8,2815.0,1.0,A1 SH,61.372,0.6459999999999999,1,3.065,9.3,0.6890000000000001,STUART,0,3.0683999999999996,0,0.9883908416639792,0.9931226434940208
2.8,2815.5,2.0,A1 SH,63.535,0.621,1,2.9819999999999998,9.8,0.667,STUART,0,3.0683999999999996,0,0.9729200652528548,1.0352440852506029
3.3,2816.0,2.0,A1 SH,65.126,0.6,1,2.9139999999999997,10.55,0.644,STUART,0,3.0683999999999996,0,0.9771965124077799,1.0250413158101834
3.4,2816.5,2.0,A1 SH,75.93,0.5760000000000001,1,2.845,11.9,0.6,STUART,0,3.0683999999999996,0,0.9763212079615651,1.165893805853269
4.4,2817.0,2.0,A1 SH,85.07700000000001,0.584,1,2.8539999999999996,12.9,0.578,STUART,0,3.0683999999999996,0,1.0031634446397186,1.1204662188858159
6.6,2817.5,2.0,A1 SH,89.459,0.598,1,2.986,13.5,0.556,STUART,0,3.0683999999999996,0,1.04625087596356,1.0515062825440482
7.2,2818.0,2.0,A1 SH,88.619,0.61,1,2.988,14.8,0.5329999999999999,STUART,0,3.0683999999999996,0,1.000669792364367,0.9906102236778859
6.4,2818.5,2.0,A1 SH,81.593,0.636,1,2.998,13.9,0.511,STUART,0,3.0683999999999996,0,1.0033467202141901,0.9207167763120776
2.8,2819.0,2.0,A1 SH,66.595,0.7020000000000001,1,2.988,11.4,0.489,STUART,0,3.0683999999999996,0,0.9966644429619745,0.8161852119667128
2.7,2819.5,1.0,A1 SH,55.081,0.789,1,3.028,8.15,0.467,STUART,0,3.0683999999999996,0,1.0133868808567603,0.8271041369472183
1.0,2820.0,2.0,A1 SH,48.111999999999995,0.84,1,3.073,7.5,0.444,STUART,0,3.0683999999999996,0,1.0148612945838837,0.8734772426063433
0.4,2820.5,2.0,A1 SH,43.73,0.846,1,3.1460000000000004,7.1,0.42200000000000004,STUART,0,3.0506,0,1.02375528799219,0.9089208513468574
0.7,2821.0,1.0,A1 SH,44.097,0.84,1,3.205,6.65,0.4,STUART,0,3.04516,0,1.0187539732994277,1.0083924079579236
0.8,2821.5,1.0,A1 SH,46.839,0.8420000000000001,1,3.2539999999999996,6.6,0.37799999999999995,STUART,0,3.0527600000000006,0,1.0152886115444617,1.0621811007551534
1.1,2822.0,1.0,A1 SH,50.348,0.843,1,3.23,6.75,0.35600000000000004,STUART,0,3.0628800000000007,0,0.9926244622003689,1.0749162023100407
2.2,2822.5,2.0,A1 SH,57.129,0.8220000000000001,1,3.237,7.3,0.33299999999999996,STUART,0,3.0715600000000007,0,1.0021671826625387,1.1346826090410742
4.4,2823.0,2.0,A1 SH,64.465,0.777,1,3.259,8.4,0.311,STUART,0,3.0784800000000008,0,1.0067964164349705,1.1284111397013776
7.1,2823.5,2.0,A1 SH,70.267,0.7290000000000001,1,3.2889999999999997,9.85,0.289,STUART,0,3.086360000000001,0,1.0092052776925438,1.0900023268440238
10.7,2824.0,2.0,A1 SH,76.566,0.664,1,3.3810000000000002,11.55,0.244,STUART,0,3.0966800000000005,0,1.0279720279720281,1.0896437872685614
10.7,2824.5,2.0,A1 SH,76.778,0.643,1,3.452,12.25,0.222,STUART,0,3.1099200000000007,0,1.0209997042295178,1.0027688530156988
9.7,2825.0,2.0,A1 SH,73.971,0.632,1,3.3960000000000004,12.55,0.2,STUART,0,3.120680000000001,0,0.9837775202780997,0.9634400479303967
8.8,2825.5,2.0,A1 SH,74.314,0.622,1,3.1439999999999997,13.1,0.17800000000000002,STUART,0,3.120560000000001,0,0.9257950530035334,1.004636952319152
4.8,2826.0,2.0,A1 SH,77.031,0.583,1,3.034,16.2,0.156,STUART,0,3.118080000000001,0,0.9650127226463104,1.0365610786662003
4.8,2826.5,2.0,A1 SH,74.469,0.517,1,2.931,19.2,0.133,STUART,0,3.111200000000001,0,0.9660514172709296,0.9667406628500212
