"Well.Name","Formation","Depth","GR","ILD_log10","DeltaPHI","PHIND","PE","NM_M","RELPOS","RELPOS_next","Facies.predict","Facies.p1","Facies.p2","Facies.p3","Facies.p4","Facies.p5","Facies.p6","Facies.p7","Facies.p8","Facies.p9"
"STUART","A1 SH",2808,66.276,0.63,3.3,10.65,3.591,0,1,0,"3",2.69777972267125e-06,0.03686196192287,0.962109082587291,1.52314264770783e-06,0.000134060788759558,2.32769434350695e-05,2.54399066382272e-07,0.00086701538442013,1.27051787580352e-07
"STUART","A1 SH",2808.5,77.252,0.585,6.5,11.95,3.341,0,0.978,0.022,"3",4.1378882347221e-06,0.11331693961824,0.886339362179793,4.98679408978034e-06,5.39171571786707e-05,7.19212659504606e-06,5.22414496892542e-07,0.000272932089761421,9.731610098215e-09
"STUART","A1 SH",2809,82.899,0.566,9.4,13.6,3.064,0,0.956,0.022,"3",4.42972695463428e-06,0.204038541997279,0.795763985325177,1.12009737054101e-05,4.1004227890966e-05,4.60847379081696e-06,8.61314120448187e-07,0.000135366083571259,1.87751114819407e-09
"STUART","A1 SH",2809.5,80.671,0.593,9.5,13.25,2.977,0,0.933,0.0229999999999999,"3",9.16264685218648e-06,0.217091089966832,0.782654364305803,1.84028334186073e-05,6.31061833491227e-05,7.58544464708552e-06,1.18432872756417e-06,0.000155099667632189,4.62273810624349e-09
"STUART","A1 SH",2810,75.971,0.638,8.7,12.35,3.02,0,0.911,0.022,"3",1.95300046498915e-05,0.223076132372291,0.776533854495546,2.76529911685304e-05,9.24817815238132e-05,1.57772965105718e-05,1.35251160325408e-06,0.000233197127860952,2.14188465666419e-08
"STUART","A1 SH",2810.5,73.955,0.667,6.9,12.25,3.086,0,0.889,0.022,"3",4.80941194447108e-05,0.211909741607574,0.78747880709712,4.07736564717782e-05,0.000121243038643431,3.07253692682134e-05,1.51590014894982e-06,0.000369007008233137,9.22030960527494e-08
"STUART","A1 SH",2811,77.962,0.674,6.5,12.45,3.092,0,0.867,0.022,"3",6.33006591469499e-05,0.232442911026343,0.766822353161597,7.10248611673325e-05,0.000132278920239429,4.35256082553842e-05,1.71207266468532e-06,0.000422762318366079,1.3137221985983e-07
"STUART","A1 SH",2811.5,83.894,0.667,6.3,12.65,3.123,0,0.844,0.023,"3",7.54950463047806e-05,0.260403120049535,0.738735320198009,0.000101550758772616,0.000136699831887245,5.11835966362493e-05,2.00330388292886e-06,0.000494498309723301,1.28905249072016e-07
"STUART","A1 SH",2812,84.424,0.653,6.7,13.05,3.121,0,0.822,0.022,"3",8.92885160635099e-05,0.281570333313129,0.717507204603523,0.000107633693475515,0.00013214593557222,5.05113109789018e-05,2.62406273305306e-06,0.000540138502814265,1.20061711583736e-07
"STUART","A1 SH",2812.5,83.16,0.642,7.3,12.95,3.127,0,0.8,0.0219999999999999,"3",0.000109417241035955,0.306774922681456,0.692171278034815,0.000112310365497291,0.000143808254365661,5.43489438639658e-05,3.49067272376236e-06,0.000630282645901826,1.41160340695978e-07
"STUART","A1 SH",2813,79.063,0.651,7.3,12.05,3.147,0,0.778,0.022,"3",0.000236792313812853,0.351634024090245,0.646802468487792,0.00012589010664489,0.000222666023610502,7.81749906381679e-05,5.33219923246821e-06,0.000894303850800694,3.47937223650132e-07
"STUART","A1 SH",2813.5,69.002,0.677,6.2,10.8,3.096,0,0.756,0.022,"3",0.00116959427046145,0.459824439481232,0.537591425466362,0.000118183614778234,0.000280135515262088,8.46917519444219e-05,6.85298806193608e-06,0.000923763056832983,9.13855064036327e-07
"STUART","A1 SH",2814,63.983,0.69,4.4,9.7,3.103,0,0.733,0.023,"2",0.00637701131740163,0.626790200771596,0.365206048837526,0.000111202439627745,0.000351470553734969,0.000131371550418891,6.30522154891616e-06,0.00102493077326029,1.45853488511279e-06
"STUART","A1 SH",2814.5,61.797,0.675,3.5,9.15,3.101,0,0.711,0.022,"2",0.0170544046128674,0.720733327674611,0.260551838609913,0.000103661714544537,0.000406827112947587,0.000153580539810763,5.9891484374985e-06,0.000989014750054467,1.35583681396012e-06
"STUART","A1 SH",2815,61.372,0.646,2.8,9.3,3.065,0,0.689,0.022,"2",0.0333847982491032,0.762459937691943,0.202718373488606,9.95053036567491e-05,0.000412079124505254,0.000138049327508687,6.73112421126857e-06,0.000779524454047645,1.00123641897963e-06
"STUART","A1 SH",2815.5,63.535,0.621,2.8,9.8,2.982,0,0.667,0.0219999999999999,"2",0.0519849393733213,0.763318687394143,0.183337844441798,0.000115328908224533,0.000444576597458709,0.000125883661203882,9.28606449246385e-06,0.000662627037128858,8.26522228823596e-07
"STUART","A1 SH",2816,65.126,0.6,3.3,10.55,2.914,0,0.644,0.023,"2",0.0585300055048822,0.751569037323584,0.188388208229029,0.000149529457181259,0.000549013550048292,0.000127819174980441,1.33717346746612e-05,0.000672107946176291,9.07079443652778e-07
