Facies,GR,ILD_log10,DeltaPHI,PHIND,PE,RELPOS,Label_Form_SH_LM
3,77.45,0.664,9.9,11.915,4.6,1.0,1
3,78.26,0.6609999999999999,14.2,12.565,4.1,0.9790000000000001,1
3,79.05,0.6579999999999999,14.8,13.05,3.6,0.9570000000000001,1
3,86.1,0.655,13.9,13.115,3.5,0.9359999999999999,1
3,74.58,0.647,13.5,13.3,3.4,0.915,1
3,73.97,0.636,14.0,13.385,3.6,0.894,1
3,73.72,0.63,15.6,13.93,3.7,0.872,1
3,75.65,0.625,16.5,13.92,3.5,0.83,1
3,73.79,0.624,16.2,13.98,3.4,0.809,1
3,76.89,0.615,16.9,14.22,3.5,0.787,1
3,76.11,0.6,14.8,13.375,3.6,0.7659999999999999,1
3,74.95,0.583,13.3,12.69,3.7,0.745,1
3,71.87,0.561,11.3,12.475,3.5,0.723,1
3,83.42,0.537,13.3,14.93,3.4,0.7020000000000001,1
2,90.1,0.519,14.3,16.555,3.2,0.6809999999999999,1
2,78.15,0.467,11.8,15.96,3.1,0.638,1
2,69.3,0.43799999999999994,9.5,15.12,3.1,0.617,1
2,63.54,0.418,8.8,15.19,3.0,0.596,1
2,63.87,0.401,7.2,15.39,2.9,0.574,1
2,58.32,0.386,6.6,14.885,2.8,0.5529999999999999,1
2,56.61,0.369,5.5,14.8,3.0,0.532,1
2,55.97,0.35200000000000004,6.1,14.46,3.0,0.511,1
2,63.67,0.344,6.0,14.745,3.0,0.489,1
2,66.2,0.342,6.8,15.135,3.0,0.46799999999999997,1
2,61.27,0.34600000000000003,6.1,15.48,3.0,0.447,1
3,69.48,0.354,5.8,14.675,3.0,0.40399999999999997,1
3,76.37,0.354,5.2,13.635,3.0,0.38299999999999995,1
2,82.2,0.348,7.4,15.055,3.0,0.36200000000000004,1
2,90.25,0.34600000000000003,11.5,20.23,3.1,0.34,1
2,94.38,0.358,14.2,24.015,3.0,0.319,1
2,87.44,0.377,13.9,23.58,3.1,0.298,1
2,70.98,0.401,11.5,18.395,3.1,0.27699999999999997,1
2,64.72,0.439,10.3,13.815,3.1,0.255,1
3,54.29,0.47,9.9,9.44,3.2,0.23399999999999999,1
3,41.46,0.493,11.1,5.255,3.4,0.213,1
3,50.93,0.524,12.1,5.265,4.6,0.17,1
3,72.79,0.5429999999999999,11.3,11.76,4.1,0.149,1
3,95.34,0.555,14.1,17.665,3.5,0.128,1
3,102.35,0.5579999999999999,15.8,20.145,3.2,0.106,1
3,79.7,0.5489999999999999,15.5,18.07,3.2,0.085,1
3,66.69,0.53,14.0,15.72,3.3,0.064,1
2,73.68,0.521,14.7,15.98,3.3,0.043,1
2,71.05,0.535,17.2,18.02,3.3,0.021,1
8,57.02,0.628,11.6,12.09,3.5,1.0,2
8,43.29,0.7020000000000001,7.3,6.705,4.0,0.981,2
8,36.06,0.762,5.7,4.595,5.0,0.963,2
8,46.0,0.823,5.1,4.62,5.5,0.9440000000000001,2
6,60.3,0.915,4.6,5.01,5.6,0.9259999999999999,2
6,75.22,0.9990000000000001,4.4,5.295,5.5,0.907,2
6,87.19,1.045,4.7,5.32,5.4,0.889,2
6,86.86,1.064,5.2,5.785,5.4,0.87,2
6,88.0,1.051,6.5,6.38,5.4,0.852,2
6,75.47,1.018,7.8,7.215,5.5,0.833,2
6,59.36,0.972,10.0,8.925,4.9,0.7959999999999999,2
6,55.57,0.9520000000000001,8.6,9.355,4.5,0.778,2
6,46.96,0.924,5.4,9.12,4.3,0.759,2
6,43.67,0.8759999999999999,3.6,8.225,4.1,0.741,2
6,55.23,0.826,5.1,7.875,4.3,0.722,2
6,61.24,0.777,9.7,8.575,4.3,0.7040000000000001,2
6,54.46,0.728,12.8,10.66,4.4,0.685,2
7,43.23,0.6990000000000001,14.9,12.375,4.0,0.667,2
7,44.59,0.682,16.0,13.54,3.9,0.648,2
4,47.48,0.6759999999999999,16.5,12.89,3.7,0.63,2
4,61.1,0.6709999999999999,15.2,11.785,3.7,0.611,2
4,64.82,0.68,9.1,8.97,4.5,0.574,2
4,55.77,0.71,6.1,8.93,5.1,0.556,2
4,62.22,0.7440000000000001,4.3,9.215,5.5,0.537,2
6,55.06,0.7859999999999999,2.9,9.5,5.6,0.519,2
6,71.02,0.8390000000000001,3.1,8.89,5.4,0.5,2
6,91.37,0.8809999999999999,3.9,8.06,5.3,0.48100000000000004,2
6,115.42,0.9109999999999999,5.2,6.875,5.3,0.46299999999999997,2
6,115.7,0.94,5.9,6.085,5.2,0.444,2
6,107.11,0.972,6.0,6.135,5.6,0.426,2
6,93.82,1.008,5.8,6.64,5.6,0.40700000000000003,2
6,61.63,1.061,3.6,6.865,6.1,0.37,2
6,45.98,1.0759999999999998,3.6,6.25,6.2,0.35200000000000004,2
6,32.76,1.071,3.0,6.225,5.8,0.33299999999999996,2
6,37.82,1.058,3.6,6.19,5.7,0.315,2
6,40.73,1.038,2.3,6.375,5.5,0.29600000000000004,2
6,33.42,1.005,2.2,6.61,5.4,0.278,2
6,32.08,0.968,2.2,7.355,5.3,0.259,2
6,33.82,0.943,2.1,8.33,4.9,0.24100000000000002,2
6,45.57,0.924,1.1,8.84,4.7,0.222,2
6,53.95,0.9,1.9,8.125,4.6,0.204,2
6,59.42,0.875,4.3,7.845,4.6,0.185,2
6,68.43,0.8540000000000001,8.3,8.665,4.8,0.16699999999999998,2
6,75.88,0.8490000000000001,11.0,10.04,4.6,0.14800000000000002,2
6,77.75,0.8640000000000001,11.3,10.85,4.7,0.13,2
6,80.93,0.907,9.6,9.815,4.6,0.111,2
6,72.92,0.932,7.3,7.475,4.7,0.09300000000000001,2
6,65.59,0.92,5.7,5.265,5.0,0.07400000000000001,2
6,64.71,0.8859999999999999,3.6,4.045,5.4,0.055999999999999994,2
6,60.79,0.8290000000000001,2.9,4.36,5.5,0.037000000000000005,2
6,78.55,0.754,2.0,9.795,5.7,0.019,2
3,107.77,0.713,1.8,19.545,4.0,1.0,1
3,110.87,0.6859999999999999,6.0,26.65,3.3,0.9740000000000001,1
3,106.33,0.665,8.6,26.94,2.8,0.9490000000000001,1
3,87.85,0.64,9.6,21.77,2.7,0.9229999999999999,1
3,80.96,0.601,9.0,15.99,2.9,0.897,1
2,66.94,0.568,11.2,12.565,3.5,0.872,1
2,61.48,0.561,12.0,11.69,4.2,0.846,1
2,58.26,0.568,12.4,12.285,4.2,0.821,1
2,51.31,0.585,12.7,11.735,3.9,0.795,1
2,67.92,0.583,13.2,11.73,3.9,0.769,1
2,67.77,0.5660000000000001,14.1,12.475,3.9,0.7440000000000001,1
2,67.73,0.5429999999999999,14.4,13.095,3.8,0.718,1
2,68.85,0.516,12.1,13.35,3.7,0.6920000000000001,1
2,73.2,0.496,9.7,15.12,3.6,0.667,1
3,84.46,0.486,6.1,20.48,3.6,0.6409999999999999,1
3,96.96,0.483,7.0,23.225,3.4,0.615,1
3,95.54,0.486,9.4,21.305,3.5,0.59,1
3,88.67,0.493,13.2,17.235,3.4,0.564,1
3,88.54,0.501,13.1,16.71,3.5,0.5379999999999999,1
3,92.22,0.501,11.2,18.675,3.5,0.513,1
2,89.67,0.491,4.9,20.405,3.3,0.48700000000000004,1
2,91.17,0.47,2.2,20.3,3.1,0.462,1
2,83.62,0.435,5.1,17.16,2.8,0.436,1
2,85.0,0.401,8.3,15.87,2.8,0.41,1
2,77.7,0.371,7.5,16.85,2.9,0.385,1
2,74.29,0.33399999999999996,6.1,17.3,2.9,0.359,1
2,70.21,0.307,5.4,17.57,2.9,0.33299999999999996,1
2,76.38,0.297,4.7,17.195,3.0,0.308,1
2,76.28,0.301,4.4,16.415,3.0,0.282,1
2,69.04,0.314,4.1,14.19,3.2,0.256,1
2,78.11,0.33799999999999997,5.8,13.25,3.4,0.231,1
3,84.18,0.377,6.8,15.72,3.8,0.205,1
3,85.85,0.428,6.6,20.045,3.5,0.179,1
3,89.6,0.47,4.4,20.455,3.3,0.154,1
3,80.61,0.509,3.6,16.78,3.1,0.128,1
3,79.36,0.539,7.5,11.78,3.3,0.10300000000000001,1
3,83.05,0.5479999999999999,8.1,14.545,3.7,0.077,1
3,95.0,0.556,9.2,23.83,3.6,0.051,1
5,85.04,0.629,6.4,26.67,3.1,1.0,2
5,46.18,0.6679999999999999,4.3,16.61,3.1,0.9440000000000001,2
5,34.53,0.703,4.9,8.22,3.5,0.889,2
5,35.19,0.7440000000000001,7.9,4.71,4.6,0.833,2
8,27.85,0.8029999999999999,7.8,4.24,4.8,0.778,2
8,23.48,0.9129999999999999,6.0,4.22,4.7,0.722,2
8,20.42,1.031,5.0,3.785,4.6,0.667,2
8,20.55,1.147,4.1,3.145,5.1,0.611,2
8,19.99,1.2919999999999998,4.7,2.195,5.4,0.556,2
8,21.18,1.405,5.2,1.59,5.9,0.5,2
8,18.63,1.452,4.7,1.755,6.1,0.444,2
6,29.41,1.465,4.2,2.36,6.0,0.389,2
