WellName,Depth.ft,LithCode,LithLabel
STUART,2807.5,3,NM Shly Silt
STUART,2808,3,NM Shly Silt
STUART,2808.5,3,NM Shly Silt
STUART,2809,3,NM Shly Silt
STUART,2809.5,3,NM Shly Silt
STUART,2810,3,NM Shly Silt
STUART,2810.5,3,NM Shly Silt
STUART,2811,3,NM Shly Silt
STUART,2811.5,3,NM Shly Silt
STUART,2812,2,NM Silt
STUART,2812.5,2,NM Silt
STUART,2813,2,NM Silt
STUART,2813.5,2,NM Silt
STUART,2814,2,NM Silt
STUART,2814.5,2,NM Silt
STUART,2815,2,NM Silt
STUART,2815.5,2,NM Silt
STUART,2816.5,3,NM Shly Silt
STUART,2817,3,NM Shly Silt
STUART,2817.5,3,NM Shly Silt
STUART,2818,3,NM Shly Silt
STUART,2818.5,3,NM Shly Silt
STUART,2819,1,NM Sand
STUART,2819.5,1,NM Sand
STUART,2820,1,NM Sand
STUART,2820.5,1,NM Sand
STUART,2821,1,NM Sand
STUART,2821.5,1,NM Sand
STUART,2822,1,NM Sand
STUART,2822.5,1,NM Sand
STUART,2823,3,NM Shly Silt
STUART,2823.5,3,NM Shly Silt
STUART,2824.5,3,NM Shly Silt
STUART,2825,3,NM Shly Silt
STUART,2825.5,3,NM Shly Silt
STUART,2826,3,NM Shly Silt
STUART,2826.5,3,NM Shly Silt
STUART,2827,3,NM Shly Silt
STUART,2827.5,3,NM Shly Silt
STUART,2828,3,NM Shly Silt
STUART,2828.5,3,NM Shly Silt
STUART,2829,3,NM Shly Silt
STUART,2829.5,3,NM Shly Silt
STUART,2830,6,Dol Wackestone
STUART,2830.5,6,Dol Wackestone
STUART,2831,8,VF-FG Packstone
STUART,2831.5,8,VF-FG Packstone
STUART,2832,8,VF-FG Packstone
STUART,2832.5,8,M-CG Packstone
STUART,2833,6,Wackestone-Packstone
STUART,2833.5,6,Wackestone-Packstone
STUART,2834,6,Dol Wackestone
STUART,2834.5,7,Fxln dolomite
STUART,2835,7,Fxln dolomite
STUART,2835.5,7,Fxln dolomite
STUART,2836,4,Marine Silt or Sh
STUART,2836.5,4,Marine Silt or Sh
STUART,2837,4,Marine Silt or Sh
STUART,2837.5,4,Marine Silt or Sh
STUART,2838,4,Marine Silt or Sh
STUART,2838.5,4,Marine Silt or Sh
STUART,2839,4,Marine Silt or Sh
STUART,2839.5,5,V Silty Mdst-Wkst
STUART,2840,6,Wackestone
STUART,2840.5,6,Wackestone
STUART,2841,5,V Silty Mdst-Wkst
STUART,2841.5,6,Silty Wackestone
STUART,2842,6,Silty Wackestone
STUART,2842.5,5,V Silty Mdst-Wkst
STUART,2843,8,M-CG Packstone
STUART,2843.5,9,PA Bafflestone
STUART,2844,9,PA Bafflestone
STUART,2844.5,8,M-CG Packstone
STUART,2845,8,M-CG Packstone
STUART,2845.5,6,Wackestone
STUART,2846,6,Wackestone
STUART,2846.5,6,Wackestone
STUART,2847,6,Wackestone
STUART,2847.5,6,Wackestone
STUART,2848,6,Wackestone
STUART,2848.5,6,Wackestone
STUART,2849,6,Wackestone
STUART,2849.5,6,Wackestone
STUART,2850,6,Wackestone-Packstone
STUART,2850.5,6,Wackestone-Packstone
STUART,2851,6,Wackestone-Packstone
STUART,2851.5,6,Wackestone-Packstone
STUART,2852,6,Wackestone
STUART,2852.5,5,Mdst-Wkst
STUART,2853,5,Mdst-Wkst
STUART,2853.5,5,Mdst-Wkst
STUART,2854,5,Mdst-Wkst
STUART,2854.5,6,Wackestone
STUART,2855,6,Wackestone
STUART,2855.5,6,Silty Wackestone
STUART,2856,6,Silty Wackestone
STUART,2856.5,6,Silty Wackestone
STUART,2857,6,Silty Wackestone
STUART,2857.5,4,Marine Silt or Sh
STUART,2858,4,Marine Silt or Sh
STUART,2858.5,4,Marine Silt or Sh
STUART,2859,4,Marine Silt or Sh
STUART,2859.5,4,Marine Silt or Sh
STUART,2860,4,Marine Silt or Sh
STUART,2860.5,4,Marine Silt or Sh
STUART,2861,6,Wackestone
STUART,2861.5,6,Wackestone
STUART,2862,6,Wackestone
STUART,2862.5,6,Wackestone
STUART,2863,6,Wackestone
